"ID_TRX";"ID_CARD";"DATETIME_GMT";"AMOUNT";"Anomaly_amount_1";"Anomaly_amount_2";"Anomaly_amount_3";"Anomaly_amount_4";"Anomaly_amount_5";"Anomaly_amount_6";"Anomaly_amount_7";"Anomaly_amount_8";"FLAG_BEHAVIOUR_Anomaly_1";"FLAG_BEHAVIOUR_Anomaly_2";"FLAG_BEHAVIOUR_Anomaly_3";"FLAG_BEHAVIOUR_Anomaly_4";"FLAG_BEHAVIOUR_Anomaly_5";"FLAG_BEHAVIOUR_Anomaly_6";"FLAG_BEHAVIOUR_Anomaly7";"FLAG_BEHAVIOUR_Anomaly_8";"Anomaly_amount_9";"Population_Anomaly_1";"Population_Anomaly_2";"Population_Anomaly_3";"Population_Anomaly_4";"Population_Anomaly_5";"Population_Anomaly_6";"Population_Anomaly_7";"Population_Anomaly_8"
"37";200493558;41475882;2023-10-17 11:51:00;"40";"2,583333";"2,407143";"1,986364";"1,96087";"1,861765";"-1,778261";"1,375";"-1";0;0;0;0;0;0;0;0;"0,833333";"1,8625";"2,107298";"2,24986";"2,169687";"2,057275";"2,062459";"0,916667";"1,3"
"38";200493662;53116315;2023-10-17 11:52:00;"48";"-1";"-0,583333";"-0,583333";"-0,583333";"-0,583333";"0,25";"1,083333";"-1";0;0;0;0;0;0;0;0;"1,435185";"-0,25";"1,703519";"1,858701";"1,799257";"1,725166";"1,725652";"0,722222";"0,2"
"39";200493705;31263738;2023-10-17 11:52:00;"10";"0";"1,666667";"1,375";"1,718182";"1,17";"-0,920345";"0";"-1";0;0;0;0;0;0;0;0;"1";"0";"11,429191";"11,999442";"11,678748";"11,229101";"11,249837";"0";"0"
"40";200493695;52802058;2023-10-17 11:53:00;"13";"-1";"-0,115385";"-0,076923";"-0,057692";"11,196581";"-9,244755";"-1";"-1";0;0;0;0;0;0;0;0;"0,967742";"9,244755";"8,560916";"8,99957";"8,752883";"8,407001";"8,422951";"-0,076923";"-0,046154"
"41";200493869;61079838;2023-10-17 11:54:00;"62";"-1";"-1";"-1";"-1";"-1";"0,193548";"-0,193548";"-1";0;1;1;1;0;0;1;0;NA;"-1";"1,093047";"1,213188";"1,167167";"1,109806";"1,110182";"-1";"-1"
"42";200493874;40316526;2023-10-17 11:54:00;"44";"-0,507576";"1,474432";"1,456612";"1,777972";"1,651989";"-1,781008";"3,227273";"-1";0;0;0;0;0;0;0;0;"0,842491";"1,917832";"1,824816";"1,954419";"1,881534";"1,779341";"1,784054";"1,439394";"1,895455"
"43";200494006;53626316;2023-10-17 11:56:00;"200";"0";"-0,271429";"-0,24";"-0,24";"-0,046667";"0,0125";"0,5";"-1";0;0;0;0;0;0;0;0;"1,111111";"-0,03";"-0,351155";"-0,313912";"-0,328178";"-0,34596";"-0,345844";"0,166667";"0,05"
"44";200494101;59594968;2023-10-17 11:57:00;"30";"0,692308";"0,084314";"0,062857";"0,062857";"0,062857";"-0,1425";"0,7";"-1";0;0;0;0;0;0;0;0;"0,673759";"0,1425";"11,544888";"12,309329";"12,161006";"12,075329";"12,27653";"0,055556";"0,566667"
"45";200494110;54872566;2023-10-17 11:57:00;"475";"-0,157895";"-0,218045";"-0,171053";"-0,171053";"-0,171053";"0,171053";"-1";"-1";0;0;0;0;0;0;0;0;"1";"-0,171053";"-0,207691";"-0,159411";"-0,168779";"-0,17419";"-0,161482";"-0,210526";"-0,210526"
"46";200494137;48586895;2023-10-17 11:57:00;"100";"1";"0,75";"0,575";"0,775";"0,683333";"-0,7355";"-1";"-1";0;0;0;0;0;0;0;0;"1,027397";"-1";"0,297689";"0,372177";"0,343643";"0,30808";"0,308313";"0,5";"0,46"
"47";200494153;55676435;2023-10-17 11:57:00;"98";"-0,455782";"-0,265306";"0,258503";"0,370262";"0,370262";"-0,454082";"1,040816";"-1";0;0;0;0;0;0;0;0;"1,302766";"0,454082";"0,324173";"0,40018";"0,371065";"0,334775";"0,335013";"0,217687";"-0,065306"
"48";200494170;61279860;2023-10-17 11:57:00;"400";"-0,95";"-0,95";"-0,95";"-0,95";"-0,95";"0,95";"-1";"-1";0;1;1;1;1;1;1;0;NA;"-1";"-0,675578";"-0,656956";"-0,664089";"-0,67298";"-0,672922";"-1";"-1"
"49";200494205;32260204;2023-10-17 11:58:00;"72";"-0,305556";"-0,366319";"-0,201389";"0,163194";"0,345486";"-0,326628";"-1";"-1";0;0;0;0;0;0;0;0;"1,167291";"0,326628";"0,726277";"0,805478";"0,760937";"0,698486";"0,701366";"-0,134259";"-0,258333"
"50";200494234;36225765;2023-10-17 11:58:00;"100";"-1";"-0,78";"-0,78";"-0,8813";"-0,8813";"0,8813";"-1";"-1";0;0;0;0;1;0;1;0;NA;"-1";"0,242919";"0,299944";"0,267875";"0,22291";"0,224984";"-1";"-1"
"51";200494275;30923917;2023-10-17 11:59:00;"65";"-0,353846";"-0,169231";"-0,235897";"-0,139367";"0,126007";"-0,191692";"2,846154";"-1";0;0;0;0;0;0;0;0;"1,371882";"0,208173";"0,912183";"0,999914";"0,950577";"0,8814";"0,88459";"0,861538";"0,356923"
"52";200494397;56853005;2023-10-17 12:00:00;"10";"7,50625";"7,563636";"6,753571";"6,551724";"6,551724";"-6,544776";"6,5";"-1";0;0;1;0;0;0;0;0;"1,300813";"0,8";"11,429191";"11,999442";"11,678748";"11,229101";"11,249837";"9,666667";"7,2"
"53";200494333;49714668;2023-10-17 12:01:00;"151";"-0,697483";"-0,654435";"-0,675497";"-0,693726";"-0,679111";"0,67944";"-0,65298";"-0,549669";0;0;0;0;0;0;0;0;"1,233333";"-0,67944";"-0,176875";"-0,13911";"-0,160348";"-0,190126";"-0,188753";"-0,428256";"-0,536424"
"54";200494518;43335725;2023-10-17 12:01:00;"10";"-1";"-1";"-1";"-1";"-1";"0";"0";"-1";0;0;0;0;0;0;0;0;NA;"0";"11,976892";"12,721766";"12,436435";"12,080797";"12,083129";"0";"-1"
"55";200494574;60706340;2023-10-17 12:02:00;"98";"0,530612";"1,285714";"1,285714";"1,285714";"1,285714";"-1,285714";"-1";"-1";0;0;0;0;0;0;0;0;NA;"1,285714";"0,324173";"0,40018";"0,371065";"0,334775";"0,335013";"-1";"-1"
"56";200494578;30442096;2023-10-17 12:02:00;"10";"1";"1,318182";"1,375";"3,409091";"3,452273";"-3,718182";"2,2";"-1";0;0;0;0;0;0;0;0;"0,444444";"1,59375";"11,429191";"11,999442";"11,678748";"11,229101";"11,249837";"0,333333";"2"
"57";200494589;34887080;2023-10-17 12:02:00;"10";"-1";"49";"4,625";"3,636364";"3,814815";"-3,69697";"0";"-1";0;0;0;0;0;0;0;0;"1";"3,5625";"11,429191";"11,999442";"11,678748";"11,229101";"11,249837";"0";"0"
"58";200494493;52416060;2023-10-17 12:03:00;"15";"0";"5,694267";"4,911889";"4,911889";"7,412381";"-7,412381";"-1";"-1";0;0;0;0;0;0;0;0;"0,153982";"0,466667";"24,089777";"25,618657";"25,322012";"25,150658";"25,55306";"0";"5,494267"
"59";200494630;43207885;2023-10-17 12:03:00;"100";"-0,586667";"-0,565";"0,875455";"0,938125";"1,262632";"-1,27";"-1";"-1";0;0;1;1;1;1;1;0;"1,058394";"0,7975";"0,242919";"0,299944";"0,267875";"0,22291";"0,224984";"-0,42";"-0,452"
"60";200494693;60138860;2023-10-17 12:03:00;"99";"0";"0";"0";"0";"0";"0";"-1";"-1";0;0;0;0;0;0;0;0;"1";"0";"0,310797";"0,386037";"0,357216";"0,321293";"0,321528";"0";"0"
"61";200494737;44463273;2023-10-17 12:04:00;"178";"-1";"-1";"-1";"-0,213483";"-0,26779";"0,26779";"-1";"-1";0;0;0;0;0;0;0;0;NA;"-0,26779";"-0,301731";"-0,269694";"-0,287711";"-0,312972";"-0,311807";"-0,136704";"-1"
"62";200494738;34069324;2023-10-17 12:04:00;"5";"26,8";"12,5";"10,675";"11,784615";"11,128571";"-8,673684";"-1";"-1";0;0;0;0;0;0;0;0;"1,34378";"8,673684";"23,858382";"24,998883";"24,357495";"23,458202";"23,499674";"17,866667";"13,04"
"63";200494753;51517967;2023-10-17 12:04:00;"70";"3";"1,085714";"0,616071";"0,383117";"0,545918";"-0,504464";"0,214286";"-1";0;0;0;0;0;0;0;0;"0,5";"0,504464";"0,775599";"0,857063";"0,81125";"0,747014";"0,749977";"0,142857";"1,285714"
"64";200494831;30122091;2023-10-17 12:05:00;"300";"-0,766667";"-0,524024";"-0,569988";"-0,573968";"-0,550283";"0,535567";"-1";"-1";0;0;0;0;0;0;0;0;"1,194853";"-0,535567";"-0,585694";"-0,566685";"-0,577375";"-0,592363";"-0,591672";"-0,566667";"-0,637333"
"65";200494840;56333654;2023-10-17 12:05:00;"40";"5,525";"4,686111";"4,335714";"3,519853";"3,519853";"-3,501316";"3,34375";"6,25";0;0;1;1;1;1;1;0;"0,861678";"3,693382";"8,408666";"8,981996";"8,870755";"8,806497";"8,957397";"2,166667";"2,675"
"66";200494862;52961915;2023-10-17 12:05:00;"50";"-1";"-1";"0,25";"0,026667";"-0,044";"0,003333";"-1";"-1";0;0;0;0;0;0;1;0;"1,084263";"0,08";"1,595378";"1,744353";"1,687287";"1,616159";"1,616626";"0,166667";"0,076"
"67";200494904;50705204;2023-10-17 12:06:00;"90";"-0,333333";"1,888889";"1,888889";"1,888889";"1,888889";"-2,955556";"4,555556";"-1";0;0;1;1;1;1;1;0;"1,489071";"-1";"0,381021";"0,444382";"0,40875";"0,358789";"0,361093";"3,037037";"1,711111"
"68";200494940;59803837;2023-10-17 12:06:00;"100";"-0,578571";"-0,52";"-0,52";"-0,52";"-0,52";"0,53037";"-0,566667";"-1";0;0;0;0;0;0;0;0;"0,833333";"-0,53037";"0,297689";"0,372177";"0,343643";"0,30808";"0,308313";"-0,5";"-0,4"
"69";200494960;58988532;2023-10-17 12:06:00;"299";"-0,670011";"-0,565217";"-0,506984";"-0,506984";"-0,506984";"0,488822";"-0,334448";"-1";0;0;1;0;0;0;1;0;"1,300859";"-1";"-0,56599";"-0,541078";"-0,550621";"-0,562515";"-0,562437";"-0,222965";"-0,402676"
"70";200494943;57487751;2023-10-17 12:07:00;"250";"0";"-0,058947";"-0,0984";"-0,0984";"-0,0984";"0,085565";"0";"-1";0;0;0;0;0;0;0;0;"1";"-0,028571";"-0,480924";"-0,451129";"-0,462543";"-0,476768";"-0,476675";"0";"0"
"71";200495006;51507314;2023-10-17 12:07:00;"298";"0,602736";"0,344379";"0,046763";"-0,185751";"-0,198807";"0,229481";"1,760067";"-1";0;0;0;0;0;0;0;0;"1,065592";"-0,255118";"-0,582913";"-0,563777";"-0,574539";"-0,589627";"-0,588932";"1,173378";"1,039597"
"72";200495011;59160066;2023-10-17 12:07:00;"78";"-0,551282";"-0,61258";"-0,623252";"-0,623252";"-0,623252";"0,624615";"-0,634615";"-1";0;0;1;1;1;1;1;0;"0,888889";"-0,641426";"0,593486";"0,666595";"0,62548";"0,567833";"0,570492";"-0,470085";"-0,403846"
"73";200495025;58535432;2023-10-17 12:07:00;"49";"-0,55102";"-0,285948";"-0,164735";"-0,164735";"-0,164735";"0,10934";"0,306122";"-1";0;0;0;0;0;0;0;0;"1,294427";"-0,085561";"1,648345";"1,80036";"1,74213";"1,66955";"1,670026";"0,204082";"-0,069796"
"74";200495145;58038512;2023-10-17 12:08:00;"21";"-1";"-1";"0";"0";"0";"0";"-1";"-1";0;0;0;0;0;0;0;0;NA;"0";"5,179472";"5,534174";"5,398302";"5,228951";"5,230062";"-0,222222";"-1"
"75";200495213;32450331;2023-10-17 12:09:00;"19";"5,736842";"5,736842";"1,115789";"1,477206";"1,964456";"-1,800171";"1,552632";"-1";0;1;1;1;0;0;1;0;"0,764163";"-1";"5,54168";"5,841811";"5,673025";"5,436369";"5,447283";"1,035088";"1,663158"
"76";200495239;37001217;2023-10-17 12:09:00;"20";"1";"0,5";"0,1875";"0,252778";"0,017241";"0,007353";"-0,25";"-1";0;0;0;0;0;0;1;0;"0,641026";"0,007576";"5,214596";"5,499721";"5,339374";"5,11455";"5,124918";"-0,166667";"0,3"
"77";200495243;42632334;2023-10-17 12:09:00;"15";"1,313978";"1,499256";"1,664725";"1,897149";"1,859461";"-1,763751";"0,007752";"-0,033333";0;0;1;1;1;1;0;0;"0,952381";"0,689884";"7,286127";"7,666294";"7,452498";"7,152734";"7,166558";"-0,022222";"0,026667"
"78";200495245;34499907;2023-10-17 12:09:00;"98";"-0,411565";"-0,2509";"0,386331";"1,289257";"1,179615";"-1,038391";"-0,095238";"-1";0;0;0;0;0;0;0;0;"0,941358";"1,038391";"0,268285";"0,326474";"0,29375";"0,247867";"0,249983";"-0,170068";"-0,118367"
"79";200495274;51507314;2023-10-17 12:10:00;"168";"1,842949";"1,384673";"0,856759";"0,444322";"0,421164";"-0,370064";"2,855159";"0,77381";0;0;0;0;0;0;0;0;"0,638249";"0,32505";"-0,260167";"-0,226224";"-0,245313";"-0,272077";"-0,270843";"1,210317";"2,463095"
"80";200495284;34937367;2023-10-17 12:10:00;"8";"0,90625";"1";"0,802083";"8,554348";"6,143939";"-4,953704";"1,96875";"-1";0;0;0;0;0;0;0;0;"1,423948";"1,528302";"14,536489";"15,249302";"14,848435";"14,286376";"14,312296";"2,666667";"1,575"
"81";200495355;62037607;2023-10-17 12:11:00;"180";"-1";"-1";"-1";"-1";"-1";"1";"-1";"-1";0;0;0;0;0;0;0;0;NA;"-1";"-0,309489";"-0,277809";"-0,295625";"-0,320606";"-0,319454";"-1";"-1"
"82";200495441;60060729;2023-10-17 12:11:00;"200";"-0,2625";"-0,175";"-0,175";"-0,175";"-0,175";"0,175";"-1";"-1";0;0;0;0;0;0;0;0;NA;"0";"-0,37854";"-0,350028";"-0,366063";"-0,388545";"-0,387508";"-0,175";"-1"
"83";200495529;37484215;2023-10-17 12:12:00;"30";"3,027833";"2,571476";"0,840924";"0,789482";"0,836887";"-0,829246";"0,333333";"-1";0;0;0;0;0;0;0;0;"1,025641";"0,884065";"3,143064";"3,333147";"3,226249";"3,076367";"3,083279";"-0,111111";"-0,133333"
"84";200495779;58713706;2023-10-17 12:15:00;"75";"0,279298";"0,154713";"0,143629";"0,143629";"0,143629";"-0,128938";"0,032222";"-1";0;0;0;0;0;0;0;0;"0,750332";"0,063656";"0,657225";"0,733259";"0,6905";"0,630547";"0,633312";"0,004444";"0,338667"
"85";200495876;46704655;2023-10-17 12:16:00;"41";"-0,292683";"-0,063415";"0,736398";"0,836838";"0,743605";"-0,681818";"-0,256098";"-1";0;0;0;0;0;0;0;0;"1,111111";"0,681818";"2,03151";"2,170596";"2,092377";"1,982708";"1,987765";"-0,170732";"-0,253659"
"86";200496048;40721162;2023-10-17 12:18:00;"100";"-1";"-1";"0,283333";"0,17";"0,17";"-0,172222";"-1";"-1";0;0;0;0;0;0;0;0;"0,44";"0,172222";"0,297689";"0,372177";"0,343643";"0,30808";"0,308313";"-0,45";"0,25"
"87";200496059;50547901;2023-10-17 12:18:00;"40";"-1";"-1";"-1";"-1";"-1";"1";"-1";"-1";1;0;0;0;0;0;0;0;NA;"-1";"1,588753";"1,561686";"1,56054";"1,443168";"1,451052";"-1";"-1"
"88";200496089;51194162;2023-10-17 12:18:00;"12";"1,1875";"0,87963";"1,934028";"2,181973";"2,212644";"-2,3379";"3,416667";"-1";0;0;0;0;0;0;0;0;"1,121795";"2,3379";"9,357659";"9,832868";"9,565623";"9,190917";"9,208197";"1,916667";"1,6"
"89";200496107;49037874;2023-10-17 12:19:00;"400";"0,13125";"-0,278333";"-0,277647";"-0,262935";"-0,198661";"0,202829";"-1";"-1";0;0;0;0;0;0;0;0;"0,903469";"-0,202829";"-0,675578";"-0,656956";"-0,664089";"-0,67298";"-0,672922";"-0,001667";"0,105"
"90";200496152;43578433;2023-10-17 12:19:00;"99";"-1";"-0,461279";"-0,469697";"0,290043";"0,190657";"-0,181818";"-1";"-1";0;0;0;0;0;0;0;0;"1,127292";"-0,548822";"0,255474";"0,313075";"0,280682";"0,235263";"0,237357";"-0,296296";"-0,375758"
"91";200496181;43240554;2023-10-17 12:20:00;"509";"-0,013752";"-0,172397";"-0,14165";"-0,172233";"-0,148033";"0,266026";"0,139162";"-1";0;0;0;0;0;0;0;0;"1,068236";"-0,266026";"-0,745051";"-0,730417";"-0,736023";"-0,74301";"-0,742964";"0,150295";"0,076817"
"92";200496198;38121520;2023-10-17 12:20:00;"33";"0,233333";"4,183712";"3,072072";"2,150452";"1,92404";"-1,658009";"9,772727";"-1";0;0;0;0;0;0;0;0;"1,496392";"2,948445";"2,766422";"2,939225";"2,842045";"2,705788";"2,712072";"9,474747";"6"
